System,Length,Gamma,Gamma_Std,D2,D2_Std,Pisot
Tribonacci,500,0.033359576127337524,0.0130007146712851,1.8555389500750075,0.03414164310463356,True
Tribonacci,1000,0.023762650132423187,0.003134670585997666,1.8067630856535335,0.04259739270637552,True
Tribonacci,2000,0.02360456418187776,0.003413085390330115,1.8001745627764238,0.028259631358850013,True
Tribonacci,4000,0.0,0.0,1.7941585514529512,0.02725829957336887,True
Tribonacci,8000,0.0,0.0,1.7938664688347392,0.027986801128358753,True
Fibonacci,500,0.07022308957415124,0.027910013045343567,0.9761623156527212,0.012394957331278897,True
Fibonacci,1000,0.05332758565270719,0.022761747073134202,0.9686062673057393,0.009467218069045576,True
Fibonacci,2000,0.034941161428999716,0.016937298411783035,0.9727961415497391,0.014724133634104181,True
Fibonacci,4000,0.02662589618773651,0.0034873406173724,0.964009091771982,0.01196061174405504,True
Fibonacci,8000,0.026409659598343967,0.0037141817167207977,0.9571648554722305,0.01168669209910614,True
Pisot Binary Substitution,500,0.045077703424030134,0.017469347563915435,0.9699544585360894,0.011826306093278229,True
Pisot Binary Substitution,1000,0.03368466102439763,0.011380788832805213,0.9723590673444392,0.012946734020291902,True
Pisot Binary Substitution,2000,0.034125862056276844,0.009916485044647245,0.9671043771550069,0.013440612305322352,True
Pisot Binary Substitution,4000,0.0,0.0,0.965948420556181,0.00961886029004417,True
Pisot Binary Substitution,8000,0.0,0.0,0.9690713782006628,0.01453476481578371,True
ThueMorse,500,0.0,0.0,0.0,0.0,False
ThueMorse,1000,0.0,0.0,0.0,0.0,False
ThueMorse,2000,0.0,0.0,0.0,0.0,False
ThueMorse,4000,0.0,0.0,0.0,0.0,False
ThueMorse,8000,0.0,0.0,0.0,0.0,False
